Company name;Company Twitter;"Nb. of Employees";What do they do (Verbatim - 10 words max.)   ;Link to website;HQ City;HQ Country;CEO name;CEO's Twitter;Link to jobpage
Fastly;twitter.com/fastly;201-500;Fastly is the future of content delivery.;https://www.fastly.com/;San Francisco, CA;USA;Artur Bergman;twitter.com/crucially;https://www.fastly.com/about/careers
Fatura Simples;twitter.com/faturasimples;1-10;Recurring Billing | Accounting and Subscription;https://www.faturasimples.com.br/;Recife;Brazil;Felipe Bagetti;;https://angel.co/fatura-simples/jobs
Figma;twitter.com/figmadesign;51-200;Collaborative design tool enabling companies to create beautiful software;http://www.figma.com/;San Francisco, CA;USA;Dylan Field;;
Findify;twitter.com/getfindify;1-10;Real-Time Personalized Search;https://findify.io/careers/;Stockholm;Sweden;Meni Morim;https://twitter.com/Menimor;https://findify.io/careers/
FineTune learning;N/A;1-10;Assessing, Evaluating, and Strengthening Complex Skills.;https://www.finetunelearning.com/;Boston, MA;USA;Steve Shapiro;;
Fire Engine RED;twitter.com/185red;51-200;Innovative marketing, technology, and data solutions for the education market.;http://fire-engine-red.com/;US;USA;Shelly Spiegel;;http://fire-engine-red.com/about/#careers
First+Third;twitter.com/firstandthird_;1-10;Custom websites tailored to your business;https://firstandthird.com/;Hermosa Beach, CA;USA;Greg Allen;;
Five Q;twitter.com/fiveq;11-50;Five Q is an interactive web development and marketing agency ;https://www.fiveq.com/;Atlantic, IA ;USA;Chad Williams;twitter.com/chadw5Q;https://www.fiveq.com/careers/
Fleep;twitter.com/fleepio;11-50;Fleep is a secure messenger app that works with email. ;https://fleep.io;Estonia;Estonia;Henn Ruukel;twitter.com/hennruukel;angle
Fleetio;twitter.com/fleetio;11-50;Track, analyze and improve your fleet operations;https://www.fleetio.com/careers;Birmingham, AL;USA;Tony Summerville;https://twitter.com/summerville;https://www.fleetio.com/careers
Flight Vector;twitter.com/Flight_Vector;11-50;EMS Air/Ground dispatching;http://flightvector.com/;Sherwood, OR;USA;Scot Cromer;;http://flightvector.com/careers/
Flockler;twitter.com/getflockler;11-50;With Flockler you can easily combine editorial, curated and social content;http://flockler.com/;London;UK;Toni Hopponen;twitter.com/tonihopponen;angel list
Flood IO;twitter.com/flood_io;1-10;Load testing service;https://flood.io/;Sydney;Australia;Mikel Lindsaar;twitter.com/lindsaar;https://angel.co/flood-io
Flow;twitter.com/flowapp;11-50;Flow is project management software that simplifies teamwork.;https://www.getflow.com;British Columbia;Canada;Andrew Wilkinson;twitter.com/awilkinson;angel list
Flyreel;N/A;1-10;AI & Computer Vision Startup for Home Inspections;http://flyreel.com/;Denver, CO;USA;Cole Winans;https://twitter.com/colewinans;
Focallocal;/twitter.com/Focallocal;1-10;Creative+Fun Activites2Change the World;http://focallocal.org/;London;UK;Andy Tulett;;
Focus Asia;twitter.com/focusasiatravel;1-10;Focus Asia;http://focus.asia/;Singapore;Singapore;;;http://focus.asia/careers/
Fog Creek Software;twitter.com/fogcreek;11-50;Tools for Software Teams;http://www.fogcreek.com/;New York, NY;USA;Joel Spolsky;twitter.com/spolsky;http://www.fogcreek.com/careers
Folarium Technomedia;twitter.com/folariumtech;1-10;Software Integrated Development;http://www.folarium.co.id/;Yogyakarta;Indonesia;;;http://www.folarium.co.id/career
Follow Up Boss;twitter.com/followupboss;11-50;Real Estate Sales CRM;http://www.followupboss.com;San Francisco, CA;USA;Dan Corkill;twitter.com/buzzdan;https://boards.greenhouse.io/followupboss#.WAZIKxB96b_
Fonoma;twitter.com/FonomaCuba;11-50;Internationa Bill Payments platform;https://www.fonoma.com/;La Havana;Cuba;Hiram Centelles;twitter.com/hcentelles;
