Company name;Company Twitter;"Nb. of Employees";What do they do (Verbatim - 10 words max.)   ;Link to website;HQ City;HQ Country;CEO name;CEO's Twitter;Link to jobpage
GotSoccer;twitter.com/GotSoccer;1-10;Soccer's #1 Software Solution;https://home.gotsoccer.com/;Neptune Beach, FL;USA;Gavin Owen-Thomas;;
GovPredict;twitter.com/GovPredict;11-50;Research, analytics, and actionable intelligence for winning public affairs campaigns;https://govpredict.com/;Washington, DC;USA;Emil Pitkin;;
Gower St Analytics;twitter.com/gsa_tech;11-50;Improve efficiency of the global theatrical market through data science;https://gower.st;London;UK;Dimitrios Mitsinikos;;
GrabCAD;twitter.com/grabcad;11-50;world's largest community of mechanical engineers.;https://grabcad.com/;Cambridge, MA;USA;Hardi Meybaum;;http://blog.grabcad.com/jobs/
Gradient Metrics;twitter.com/gradientmetrics;1-10;Marketers and technologists that build robust models to guide managers in their decisions.;http://gradientmetrics.com/;New York, NY;USA;Tom Vladeck;;
Gradle;twitter.com/gradle;11-50;"Open Source Build Tool ; Enterprise SaaS and on-premise. Fully remote. Java, Groovy, Kotlin.";https://gradle.com/careers;San Francisco, CA;USA;Hans Dockter;https://twitter.com/hans_d;
GrantStreet;N/A;51-200;Software at your service. ;https://www.grantstreet.com/;US;USA;Myles Harrington;;https://www.grantstreet.com/careers/
Grape.io;twitter.com/chatgrapecom;1-10;Big Enterprise Messaging;https://chatgrape.com/;Vienna;Austria;Felix Häusler;twitter.com/felix_hau;https://chatgrape.com/jobs/
GrapheneDB;twitter.com/graphenedb;1-10;Cloud hosted Neo4j graph databases;http://www.graphenedb.com/;Canary Islands;Spain;Juanjo Andrés;;https://remoteok.io/remote-startups/graphenedb
Grasswire;twitter.com/Grasswire;11-50;The most important news in the world curated and fact-checked by you.;https://grasswire.com;San Francisco, CA;USA;Austen Allred;twitter.com/AustenAllred;
Graylog;twitter.com/graylog2;11-50;Graylog is the leading open source log management platform.;https://www.graylog.org;Houston, TX;USA;Michael Sklar;twitter.com/michaelsklar;https://www.graylog.org/jobs/
Greenback Tax Services;twitter.com/GreenbackTax;11-50;Expat Tax Services;https://www.greenbacktaxservices.com/jobs/;;USA;Carrie McKeegan;https://twitter.com/cpmckeegan;www.greenbacktaxservices.com
Gridium;twitter.com/gridium;11-50;SAAS software for buildings;https://gridium.com/;Menlo Park, CA;USA;Tom Arnold;twitter.com/TheTomArnold;https://gridium.com/about/working-at-gridium/
Groove;twitter.com/groove;11-50;See why 3000+ businesses have made the switch to the world's simplest help desk. ;https://www.groovehq.com/;Mill Valley, CA;USA;Ethan Giffin;twitter.com/opie;
Growth Staff;N/A;1-10;We are your VP of Marketing + Entire Growth Team;https://growthstaff.co/;Phoenix, AZ;USA;;;
GuardTime;twitter.com/guardtime;51-200;Data-Centric Security.;https://guardtime.com/;Tallinn;Estonia;Mike Gault;twitter.com/mgault;https://guardtime.com/about/jobs
Hanno;twitter.com/wearehanno;1-10;A UX design team building digital products for changemakers;https://hanno.co/;London;UK;Jon Lay;twitter.com/jon_lay;https://github.com/wearehanno/playbook/wiki/New-Hires
Happy Herbivore;twitter.com/happyherbivore;1-10;Help families eat healthier;https://www.getmealplans.com;Los Angeles, CA;USA;Lindsay and Scott Nixon;;
Harris;twitter.com/Harris_Computer;51-200;Software solutions that offer choice, expertise and relationship;https://www.harriscomputer.com/;Ottawa, OT;Canada;Jeff Bender;;
Harvest;twitter.com/harvest;11-50;Simple time tracking, fast online invoicing, and powerful reporting software.;www.getharvest.com/;New York, NY;USA;Danny Wen;twitter.com/dannywen;https://www.getharvest.com/careers
hashi Corp;twitter.com/hashicorp;51-200;Cloud Infrastructure Automation;https://www.hashicorp.com/;San Francisco, CA;USA;Dave McJannet;https://twitter.com/davidmcj;https://www.hashicorp.com/
Hasura;twitter.com/hasurahq;1-10;PaaS/BaaS solution to reuse & deploy code.;http://t.co/fSjMrZmMF4;Bangalore;India;Rajoshi Ghosh;twitter.com/rajoshighosh;https://hasura.io/Careers
Hatimeria;twitter.com/hatimeria;1-10;We enable e-commerce businesses to grow while developing tomorrow’s leading e-commerce solutions today.;https://www.hatimeria.com/;Krakow;Poland;Bartosz Zakręta;;
Haystack;twitter.com/haystackim;1-10;Search engine for stock photography;https://www.haystack.im/;New York, NY;USA;Andrew Rowat;twitter.com/andrewrowat;https://angel.co/haystack-im/jobs
Hazelcast;twitter.com/hazelcast;11-50;Open source In-Memory Data Grid;https://hazelcast.com/company/careers/;Palo Alto, CA;USA;Greg Luck;https://twitter.com/gregrluck;https://hazelcast.com/
HE:labs;twitter.com/helabs;51-200;Turn your ideas into great products;https://helabs.com/;Rio de Janeiro;Brazil;Rafael Miranda;twitter.com/rafaelmbr;https://helabs.recruiterbox.com/
Health Leads’;twitter.com/HealthLeadsNatl;11-50;Redefine healthcare to include patients’ basic resource needs;https://healthleadsusa.org/about-us/vision/;;USA;Alexandra Quinn;;https://healthleadsusa.org/about-us/careers/open-positions/
Healthfinch ;twitter.com/healthfinch;11-50;We build care redesign apps that alleviate burdensome tasks,;www.healthfinch.com;Madison, WI;USA;Jonathan Baran;twitter.com/jonathanbaran;www.healthfinch.com/careers/
Heap;twitter.com/heap;11-50;analyze data instantly and retroactively. No shipping code. ;https://heapanalytics.com/;San Francisco, CA;USA;Matin Movassate;twitter.com/matinm1;https://heapanalytics.com/jobs
Heetch;twitter.com/heetch;51-200;Ride service oriented toward nightlife;http://www.heetch.com/;Paris;France;Teddy Pellerin;twitter.com/teddypellerin;http://jobs.heetch.com/
HelloMD;twitter.com/mfhadfield;11-50;Largest cannabis health and wellness community.;https://www.hellomd.com/;San Francisco, CA;USA;Mark Hadfield;;
Help Scout;twitter.com/helpscout;11-50; A help desk for teams that insist on a delightful customer experience;http://www.helpscout.net;Boston, MA;USA;Nick Francis;twitter.com/nickfrancis;http://www.helpscout.net/careers/
HelpDocs;twitter.com/HelpDocs;1-10;Build and provide knowledge base software to enterprise companies;https://helpdocs.io;;UK;Jake Peters;https://twitter.com/jakeapeters;
Helpjuice, Inc.;twitter.com/helpjuice;1-10;Enterprise Knowledge Management SaaS co.;https://helpjuice.com/;Miami - Sarajevo;Serbia;Emil Hajric;twitter.com/emilhajric;
Heroku;twitter.com/heroku;201-500;PaaS that enables developers to build and run applications entirely in the cloud;https://www.heroku.com/;San Francisco, CA;USA;Tod Nielsen;;https://www.heroku.com/careers
Herox;twitter.com/IamHerox;11-50;HeroX is a two-sided crowdsourcing marketplace ;herox.com;;;;;
Hexbridge;twitter.com/hexbridge;1-10;Development Agency for Startups;http://hexbridge.com/;;;Andrei Canta;twitter.com/deiucanta;
HeyTaco!;twitter.com/heytacoapp;1-10;Help people create more vibrant and positive communities.;https://www.heytaco.chat/;MD;USA;Doug Dosberg;https://twitter.com/dosberg;
Hippo Education;twitter.com/hippoeducation;11-50;A new-school web based medical education company ;www.hippoed.com;;USA;Aaron Bright;twitter.com/aaronbrightmd;http://www.careers.hippoed.com/
Hireology;twitter.com/hireology;51-200;Hireology is the leading hiring platform in the franchise and retail automotive industries.;https://www.hireology.com/;Chicago, IL;USA;Adam Robinson;twitter.com/adrobins;www.hireology.com/careers
HiringThing;twitter.com/hiringthing;1-10;Applicant tracking software;https://www.hiringthing.com/;Bethlehem, PA ;USA;Joshua Siler;twitter.com/joshuasiler;https://careers.hiringthing.com/
Hirsh Marketing;https://www.hirshmarketing.com/careers/;1-10;Digital marketing strategy for influencers;https://www.hirshmarketing.com;Austin, TX;USA;Emily Hirsh;;
Hitlist;twitter.com/hitlist_app;1-10;Let us know what you're interested in & we'll bring the best options to you;www.hitlistapp.com;New York, NY;USA;Gillian Morris;twitter.com/gillianim;angel list https://angel.co/hitlist-1/jobs
HoloMeeting;N/A;1-10;Revolutionising Remote Collaboration;https://www.holomeeting.io/;London;UK;;;
Holstee;twitter.com/holstee;1-10;Mindful Art Subscription.;https://www.holstee.com/;New York, NY;USA;David Radparvar;twitter.com/daverad;https://www.holstee.com/pages/jobs
Honeybadger;twitter.com/honeybadgerapp;1-10;Diagnose and fix application errors, faster.;https://www.honeybadger.io/;;USA;Starr Horne;twitter.com/StarrHorne;angel list
Hopper;twitter.com/hopper;201-500;Revolutionizing how millions of people book their travel;http://www.hopper.com/;Boston, MA;USA;Frederic Lalonde;;
Host Compliance;twitter.com/HostCompliance;11-50;Software that makes the sharing economy work for everyone;https://hostcompliance.com/;San Francisco, CA;USA;Ulrik Binzer;;
Hotjar;twitter.com/hotjar;11-50;See how visitors are really using your website;https://www.hotjar.com/;Valletta;Malta;Dr David Darmanin;twitter.com/daviddarmanin;
Hubstaff;twitter.com/Hubstaff;1-10;time tracking software with screenshots and activity levels.;https://hubstaff.com/?ab=mv;Fishers, IN;USA;Dave Nevogt;twitter.com/dnevogt;https://hubstaff.com/jobs
Hudl;twitter.com/Hudl;201-500;Tools for coaches and athletes to review game footage to improve team play;hudl.com;Lincoln, NE;USA;David Graff;twitter.com/dghudl;http://public.hudl.com/jobs/
Hugging Face;twitter.com/huggingface_ph;1-10;AI friend ;https://huggingface.co/;New York, NY;USA;Clement Delangue;twitter.com/ClementDelangue;
Hugo;twitter.com/hugo_events;1-10;Hugo is to events what Tripadvisor is to hotels.;https://www.hugo.events/en;Amsterdam;Netherlands;Guy Kessels;;https://www.hugo.events/en/careers
Human;twitter.com/human;1-10;Human is a free all-day activity tracker;http://human.co/;San Francisco, CA;USA;Paul Veugen;twitter.com/pveugen;angel list
Human Made;twitter.com/humanmadeltd;1-10;WordPress Development;https://hmn.md/;UK;UK;Tom Willmot;twitter.com/tomwillmot;https://hmn.md/is/hiring/
Iambnb;twitter.com/official_iambnb;11-50;Enabling homeowners to earn additional income;http://www.iambnb.nl/;Amsterdam;Netherlands;Antoine Dumas-Martin;twitter.com/donidude;https://iambnb.recruiterbox.com/
Ibotta;twitter.com/IbottaApp;11-50;Save consumers time and money, by creating a single starting point for all rewarded shopping.;https://ibotta.com/;Denver, CO;USA;;;
ICUC;twitter.com/icuc;501-1000;Social media management services company ;www.icuc.social/;Winnipeg, Manitoba ;Canada;Keith Bilous;twitter.com/keithbilous;icuc.social/careers-icuc
Idego Group;N/A;11-50;Premium Software House;https://idego-group.com/;Berlin;Germany;Krzysztof Gibas;;
iDoneThis;twitter.com/idonethis;1-10;Provides the strongest insights of what you and your team have done for the day or week.;https://home.idonethis.com;Las Vegas, NV;USA;Walter Chen;twitter.com/smalter;https://remoteok.io/remote-startups/idonethis
Igalia ;twitter.com/igalia;11-50;Open source consultancy specialized in the development of innovative projects ;http://www.igalia.com/;Coruña, Galicia ;Spain;;;
iMedicare;twitter.com/iMedicare;11-50;We service thousands of pharmacies across the US,;https://imedicare.com;New York, NY;USA;Flaviu Simihaian;twitter.com/flaviusim;https://imedicare.com/jobs/
Import2;twitter.com/importto;1-10;Simple, easy-to-use data import tool ;https://www.import2.com;Sunnyvale, CA;USA;Mark Kofman;twitter.com/markkofman;angel list
Incsub;twitter.com/incsub;11-50;We are behind WordPress projects WPMU DEV and Edublogs;incsub.com/;Albert Park, Victoria;USA;James Farmer;twitter.com/jamesfarmer;http://incsub.com/careers/
Indie Localizers;twitter.com/IndieLocalizers;11-50;We are hiring: SEOs, devs, testers;indielocalization.com;Jersey City, NJ;USA;Artem Nedrya;twitter.com/T9n_Design;
InFlight;N/A;11-50;Modernize your existing systems;https://www.inflightintegration.com;Easthampton, MA;USA;Ian McDonald;;
Influx;twitter.com/influxdotcom;51-200;Outsourced customer support.;https://influx.com/;Melbourne;Australia;Leni Mayo;twitter.com/lenidot;https://influx.com/careers
InfluxData;twitter.com/influxdb;11-50;Data platform for sensors, machines and IoT.;https://www.influxdata.com/;San Francisco, CA;USA;Evan Kaplan;twitter.com/evankaplan;https://www.influxdata.com/careers/
INN Labs;twitter.com/INNnerds;1-10;Institute for Nonprofit News;https://labs.inn.org/nerds/;Denver, CO;USA;Kay Lima;twitter.com/kayleen_lima;
Innolitics;twitter.com/innolitics;11-50;Medical imaging;https://innolitics.com/;New York, NY;USA;John Giese;;
Inpsyde GmbH ;twitter.com/inpsyde_gmbh;11-50;Enterprise solutions with the world's most popular open-source CMS;http://inpsyde.com/en/;Gladbach ;USA;Olaf A. Schmitz / co founder;twitter.com/bueltge;email inquiry on their main page
Input;twitter.com/input;1-10;One place for your most important work;https://www.input.com/;San Francisco, CA;USA;Garrett Camp;;
Inspired HR;twitter.com/InspiredHRltd;1-10;Greatest impact on workplace productivity, employee engagement & risk mitigation;inspiredhr.ca/;;USA;Debby Carreau ;twitter.com/DebbyCarreau;http://inspiredhr.mytribehr.com/careers
Instinct Science;N/A;1-10;Helps veterinary hospitals ;https://www.instinct.vet/;Philadelphia, PA;USA;Caleb Frankel;;
Instructure;twitter.com/Instructure;501-1000;Makes software that makes people smarter.;https://www.instructure.com/;Salt Lake City, UT;USA;Josh Coates;;https://www.instructure.com/careers/
Intellum;twitter.com/intellum;11-50;Intellum provides web based learning management system software, custom courseware;http://www.intellum.com/;Atlanta, GA;USA;Chip Ramsey;;https://intellum-inc.workable.com/
Interactive Intelligence;twitter.com/IN_Intelligence;501-1000;Interactive Intelligence provides software and cloud services for customer engagement;https://www.inin.com/;Indianapolis, IN;USA;Donald E Brown;twitter.com/donbrownindy;https://www.inin.com/careers
Intercom;twitter.com/intercom;201-500;Intercom is a fundamentally new way for internet businesses to communicate with customers,;https://www.intercom.com/;San Francisco, CA ;USA;Eoghan McCabe;twitter.com/eoghanmccabe;https://www.intercom.com/careers
Interfolio;twitter.com/Interfolio;11-50;The first ever faculty information system.;https://www.interfolio.com/;Washington, DC;USA;Andrew Rosen;;
Intridea/Mobomo;twitter.com/mobomoapps;11-50;Strategists, designers, developers & creators: this is who we are. ;http://www.intridea.com/;Washington, DC;USA;Marc Garrett;twitter.com/since1968;http://jobs.intridea.com/
INTUO;twitter.com/intuotalent;11-50;Talent Management System;https://www.intuo.io/;Ghent;Belgium;Tim Clauwaert;twitter.com/clauwaerttim;https://angel.co/intuo/jobs
InukaInuka;twitter.com/inuka_io;1-10;Wellbeing support from a personal coach;https://www.inuka.io/;Nairobi;Kenya;;;
InVision;twitter.com/InVisionApp;201-500;The Digital Product Design platform powering the world’s best user experiences;invisionapp.com/;New York, NY;USA;Clark Valberg;twitter.com/clarkvalberg;http://www.invisionapp.com/company#jobs
IOpipe;twitter.com/iopipes;1-10;Serverless tech for building and deploying ap;https://www.iopipe.com/;;;Adam Johnson;;https://angel.co/iopipe/jobs
Iridium Technology;twitter.com/iridiumtek;51-200;Business intelligence and dashboard solutions to leading law firms;https://www.iridium-technology.com/;Reno, NV;USA;Tom Jones;;
IVPN;twitter.com/ivpnnet;1-10;Take control of who has access to your private data;https://www.ivpn.net/;Gibraltar;Gibraltar;;;
iwantmyname;twitter.com/iwantmyname;11-50;Pure domain management service offering domain registration and DNS hosting. ; https://iwantmyname.com/;Wellington;New Zealand;;;https://iwantmyname.com/jobs
Jackson River;twitter.com/jacksonriver;11-50;A Next Generation Digital Engagement Platform -  Springboard - Fundraising. ;jacksonriver.com;;USA;Alice Hendricks;;https://jacksonriver.com/about/jobs
Jatheon;twitter.com/Jatheon;1-10;Communication data archiving and social media monitoring solutions;https://jatheon.com;Toronto;Canada;Marko Dinic;https://twitter.com/mdinic;
JBS Customer Software;N/A;1-10;Project-Based Custom Applications and Software Solutions ;https://www.jbssolutions.com/;Chadds Ford, PA;USA;;;
Jim's Mowing;twitter.com/jimsmowing_uk;51-200;We mow the lawns of Australia;http://www.jimsmowing.co.uk/;Melbourne ;Australia;Jim Penman;;http://www.indeed.com/cmp/Jims-Mowing
Jitbit;twitter.com/jitbit;1-10;Helpdesk software;https://www.jitbit.com/;Edinburgh;Scotland;Alex Jumašev;twitter.com/jitbit;
Jolly Good Code;twitter.com/jollygoodcode;1-10;Ruby on Rails;http://www.jollygoodcode.com/;Singapore;Singapore;Winston Teo Yong Wei;twitter.com/winstonyw;https://glints.sg/companies/9900
Kadenze;twitter.com/KadenzeOfficial;1-10;Make digital learning better for the whole world.;https://www.kadenze.com/;Los Angeles, CA;USA;Ajay Kapur ;https://twitter.com/Ajay__Kapur;
Kalypso LP;twitter.com/KalypsoLP;201-500;Global innovation consulting firm. ;kalypso.com/;Beachwood, OH ;USA;Chris Kay;;http://kalypso.com/careers
Kanopi Studios;twitter.com/kanopi_studios;11-50;Open Source Design, Development & Support;https://www.kanopistudios.com;;;Anne Stefanyk;twitter.com/eskimoYogi;https://www.kanopistudios.com/careers
Kantree;twitter.com/kantreeapp;1-10;Visual & flexible project manager;https://kantree.io/;Paris;France;;;https://remotebase.io/company/kantree
KBMax;twitter.com/KBMax3DCPQ;11-50;Configure Price Quote & Interactive 3D;kbmax.com;Austin, TX;USA;Bill Culwell;;http://www.kbmax.com/careers
Keen IO;twitter.com/keen_io;11-50;Keen IO is a custom analytics back-end for developers.;https://keen.io/;San Francisco, CA;USA;Kyle Wild;twitter.com/dorkitude;https://keen.io/careers/
Kehona Health;twitter.com/keonahealth;1-10;Healthcare call center software;http://keonahealth.com/;Chapel Hill, NC;USA;Oakkar Oakkar;https://twitter.com/oakkar;
Kellerkinder;twitter.com/KellerkinderDE;1-10;Specialists for Shopware plugin development;https://www.kellerkinder.de;Hockenheim;Germany;Uwe Kleinmann;https://twitter.com/iUwe;http://www.kellerkinder.de/jobs.html
KeyCDN;twitter.com/keycdn;1-10;high-performance content delivery network;https://www.keycdn.com/careers;Winterthur;Switzerland;Jonas Krummenacher;https://twitter.com/jkrummenacher;https://www.keycdn.com
Khan Academy;twitter.com/khanacademy;51-200;Learn for free about math, art, computer programming, economics and more;https://www.khanacademy.org;Mountain View, CA;USA;Salman Khan;twitter.com/salkhanacademy;https://www.khanacademy.org/careers
KickBack Rewards systems;N/A;11-50;Rewards programs and loyalty solutions;https://kickbacksystems.com/;Twin Falls, ID;USA;Pat Lewis;;
Kiprosh;https://twitter.com/KiproshHQ;11-50;Software product development firm building powerful Web & Mobile apps;http://kiprosh.com/;Mumbai;India;Rohan Daxini;twitter.com/rohan_daxini;http://kiprosh.com/careers
KissMetrics;twitter.com/Kissmetrics;51-200;Kissmetrics is a revolutionary person-based analytics platform for your whole team.;https://kissmetrics.com/;San Francisco, CA;USA;Brian Kelly;twitter.com/bkkelly;angel list
Kitsbow;twitter.com/kitsbow?lang=en;1-10;Create unrivaled gear made with the best materials available.;https://www.kitsbow.com/;Petaluma, CA;USA;David Billstrom;;
KIZEN;N/A;11-50;Next-generation technology and AI for marketing, sales, and service teams;https://kizen.com/;San Francisco, CA;USA;John Winner;;
Knack;twitter.com/knackhq;1-10;Knack is the easiest way to build your own app;https://www.knack.com/;Philadelphia, PA;USA;Brandon Griggs;twitter.com/bigboxofbrandon;https://www.knack.com/jobs/
Knock Homes;twitter.com/knockhome;11-50;Trade-In Your House Today;https://www.knock.com/jobs;Atlanta, GA;USA;Sean Black;;https://www.knock.com/jobs
KnownFour;twitter.com/KnownFourLtd;11-50; UK based Specialist Tech, Regulatory, Saas, CleanTech, Finance Recruitment Business;http://www.knownfour.com;London;UK;Annil Chandel;https://twitter.com/Annilc/;
Koding;twitter.com/koding;1-10;It's a dev environment automation platform;http://koding.com;San Francisco, CA;USA;Devrim Yasar;twitter.com/devrimyasar;https://jobs.lever.co/koding
Komodo Platform;twitter.com/komodoplatform;11-50;Open-Source Infrastructure For An Interoperable Blockchain Ecosystem;https://komodoplatform.com/;;Vietnam;Ben Fairbank;;
Komoot;twitter.com/komoot;1-10;Better Planning and Navigation for Hikers and Bikers;https://www.komoot.com/;Berlin;Germany;Jonas Spengler;https://twitter.com/jonaskmt;
Kontist;twitter.com/kontist;1-10;Give freelancers the peace of mind they deserve in the 21st century;https://kontist.com/;Berlin;Germany;Christopher Plantener;;
Kraken;twitter.com/krakenfx;501-1000;Kraken Digital Asset Exchange;https://www.kraken.com/;San Francisco, CA;USA;Jesse Powell;https://twitter.com/jespow;
Kuali;twitter.com/KualiCo;51-200;Simplify Higher Ed Administration;https://www.kuali.co/about/#careers;Lehi, UT;USA;Joel Dehlin;;https://www.kuali.co/
Kyero;twitter.com/kyero;11-50;Real estate portal for international buyers;kyero.com;Bath, Somerset;UK;Martin Dell;;
Language Drops;twitter.com/language_drops;11-50;Language learning made easy.;https://languagedrops.com/;Tallinn;Estonia;Daniel Farkas;;
Later;twitter.com/latermedia;11-50;#1 Instagram Marketing Platform for Visual Marketers;later.com;Vancouver, BC;Canada;Roger Patterson;https://twitter.com/roger_patterson;https://angel.co/latergramme/jobs
Last Call Media;twitter.com/lastcallmedia;11-50;Digital Destination: Strategy, Design, Solution. All Aboard!;lastcallmedia.com/;Northampton, MA;USA;Sean Eddings;N/A;
LaterPay;twitter.com/LaterPay;11-50;Letting merchants sell digital content for micropayments;www.laterpay.net/;München, Bavaria;Germany;Cosmin Ene;twitter.com/cosmoene;https://www.laterpay.net/careers/
Launch Potato;twitter.com/launchpotato;11-50;Startup studio leveraging data, science and fund to build awesome, profitable digital companies.;launchpotato.com;Delray Beach, FL;USA;Greg Van Horn;twitter.com/domydeal;http//launchpotato.com/careers
layer;twitter.com/Layer;11-50;Imagine, Design, and Engage in the Perfect Customer Conversation;layer.com;San Francisco, CA;USA;Ron Palmeri;https://twitter.com/RonP;https://layer.com/company/careers/#job-feed
Lazy Eight;twitter.com/lazyeightdesign;11-50;A creative agency on the cloud.;http://www.lazyeight.design/;New Delhi;India;Nav Chatterji;twitter.com/navchatterji;http://www.lazyeight.in/clients/lazyeight/careers
Leadfeeder;twitter.com/leadfeederapp;1-10;Sales leads from Google Analytics;https://www.leadfeeder.com/;Helsinki;Finland;Pekka Koskinen;https://twitter.com/pekkakoskinen;
LearnZillion;twitter.com/learnzillion;11-50;"EdTech; curriculum and prof. dev for K12";https://learnzillion.com;Washington, DC;USA;Eric Westendorf;twitter.com/ericwestendorf;https://learnzillion.com/p/company/
Let's Encrypt;twitter.com/letsencrypt;1-10;Free, automated and open certificate authority for the public’s benefit.;https://letsencrypt.org/;San Francisco, CA ;USA;Alex Polvi;twitter.com/polvi;https://letsencrypt.org/jobs/
Librato;twitter.com/librato;11-50;Collect, store, and visualize any metrics in minutes.;https://librato.com/;San Francisco, CA;USA;Fred van den Bosch;twitter.com/fredvdbosch;http://solarwinds.jobs/solarwinds-cloud/ 
Lightbend;twitter.com/lightbend;51-200;Dedicated to helping developers build Reactive applications on the JVM.;http://www.lightbend.com/;San Francisco, CA ;USA;Mark Brewer;twitter.com/mabrewer7;http://www.lightbend.com/company/careers
Linaro;twitter.com/LinaroOrg;201-500;Not-for-profit engineering organization;www.linaro.org/;Cambridge, MA;USA;George Grey;twitter.com/gcgrey;http://www.linaro.org/careers/
Lincoln Loop;twitter.com/lincolnloop;1-10;Full service web studio offering user experience & development ;https://lincolnloop.com/;Chicago, IL ;USA;PETER BAUMGARTNER;twitter.com/ipmb;
LitCharts;twitter.com/litcharts;1-10;Browse 527 LitCharts Literature Guides;https://www.litcharts.com/;New York, NY;USA;Ben and Justin;;https://www.litcharts.com/
Litmus;twitter.com/litmusapp;11-50;Litmus tests and tracks your email campaigns so you can always put your best design forward.;https://litmus.com/;Cambridge, MA;USA;Paul Farnell;twitter.com/unsalted;https://litmus.com/jobs/
Littlelines;twitter.com/littlelines;1-10;Connecting the dots since 2007 - Ruby on Rails & Elixir;https://littlelines.com/;Dayton, OH;USA;Matt Sears ;;
LiveMentor;twitter.com/_livementor;11-50;Online education website;https://www.livementor.com/;Paris;France;Alexandre Dana;twitter.com/alexandredana;https://livementor.workable.com/
Living Social;twitter.com/LivingSocial;501-1000;Online marketplace that allows clients to buy and share things to do in their city;https://www.livingsocial.com;Washington, DC;USA;Gautam Thakar;;jobs.livingsocial.com
Localistico;twitter.com/localistico;1-10;Localistico make local businesses easier to find online.;http://localistico.com/;London;UK;Ricardo Varela;twitter.com/phobeo;https://angel.co/localistico/jobs
loco2;twitter.com/loco2;11-50;Make booking trains anywhere in Europe as easy and affordable as possible;https://loco2.com/;London;UK;Jamie Andrews;https://twitter.com/jamieandrews;https://loco2.com/en/careers/
Locus Health;twitter.com/locus_health;11-50;Remote care solutions for population health;https://www.locushealth.com/;Charlottesville, VA;USA;Kirby Farrell;;
log;twitter.com/log_oscon;1-10;WordPress and User Experience;https://log.pt/;Lisbon;Portugal;João Gomes;;
Logical Engine;twitter.com/logicalengine1;11-50;Solve problems with innovative solutions that build better businesses. ;https://www.logicalengine.com/;Newburyport, MA;USA;Tom Droste;;
Logikcull ;twitter.com/logikcull;51-200;We're putting an end to eDiscovery with Discovery Automation;https://logikcull.com/jobs/;San Francisco, CA;USA;Andy Wilson;https://twitter.com/iDedupe;logikcull.com/jobs
Logmein;twitter.com/LogMeIn;501-1000;Get In and go with remote access from LogMeIn;https://secure.logmein.com/;Boston, MA;USA;Michael K. Simon;;https://www.logmeininc.com/careers
Loom;twitter.com/@useloom;11-50;Faster than typing. We create simple software for you to be your most authentic self ;https://www.useloom.com/;San Francisco, CA;USA;Joe Thomas;https://twitter.com/yoyo_thomas;
Loot Crate;twitter.com/lootcrate;1-10;Loot Crate is the worldwide leader in fan subscription boxes.;https://www.lootcrate.com;Los Angeles, CA;USA;Chris Davis;;
Lorem;twitter.com/asklorem;51-200;Don’t waste another second searching for freelance work online.;https://www.asklorem.com/;New York, NY;USA;Sam Wilcoxon;https://twitter.com/samwilcoxon;
LoveToKnow;twitter.com/lovetoknow;51-200;Provides expert advice on the topics you need.;http://www.lovetoknow.com/;Burlingame, CA;USA;Howard Love;twitter.com/howardlove;http://www.lovetoknow.com/Careers/careers.html
Loyal;twitter.com/loyalhealth;1-10;Transparency tools for health systems;https://www.loyalhealth.com;Atlanta, GA;USA;Chad mallory;https://twitter.com/chadmallory;https://www.loyalhealth.com/careers
Lullabot;twitter.com/lullabot;51-200;Top strategy, design, and development agency specializing in high-performance projects;https://www.lullabot.com/;Providence, RI;USA;Jeff Robbins;twitter.com/jjeff;https://www.lullabot.com/jobs
Lumiserv;twitter.com/lumiserv;1-10;Mission critical DevOps & cloud management;https://lumiserv.com;Bournemouth;UK;Rad Dougall;twitter.com/raddougall;https://lumiserv.com/careers-jobs/
Lynx Technology Partners;twitter.com/lynxpartners;11-50;Regulatory compliance tools;https://lynxgrc.com/;New York, NY;USA;Rich Hlavka;twitter.com/richhlavka;https://lynxgrc.com/careers/
Machinio;twitter.com/machinio;11-50;used machinery marketplace;https://www.machinio.com/careers/;Chicago, IL;USA;Dmitriy Rokhfeld;;www.machinio.com
MailerLite;twitter.com/mailerlite;51-200;Advanced email marketing made simple.;https://www.mailerlite.com;Vilnius;Lithuania;Ignas Rubezius;https://twitter.com/ignasmailer;
mailparser.io;twitter.com/mailparser;1-10;Liberate Data Trapped Inside E-mails;https://mailparser.io/;Paris;France;Moritz Dausinger;twitter.com/mdausinger;
Mailprotector;twitter.com/mailprotector;11-50;Providing vital email services;https://www.mailprotector.com/;Greenville, SC;USA;David Setzer;;
MailTag.io;twitter.com/MailTagio;1-10;Helping sales professionals make more sales, in less time.;https://www.mailtag.io/;Phoenix, AZ;USA;Alex Edson;;
Maître;N/A;1-10;Word of mouth that drive sales.;https://maitreapp.co/;London;UK;;;
Make Works;twitter.com/MakeWorksTO;11-50;Canada’s leading shared R&D lab and co-working space;http://www.makeworks.com/;Toronto;Canada;Mike Stern;;
Manage Social;twitter.com/ManageFlitter;1-10; easy to use tools to empower you to work smarter and faster with Twitter;https://manageflitter.com/careers;Sydney;Australia;Kevin Garber;https://twitter.com/ke_ga;https://manageflitter.com/careers
Mapbox ;twitter.com/mapbox;51-200;Map integration tools for various platforms.;https://www.mapbox.com/;Washington;USA;Eric Gundersen;twitter.com/ericg;https://www.mapbox.com/jobs/
